ID,IT,ME,CL,ANC,TOTAL,PUE
1,10,2,3.24,1.3,16.54,1.65
2,20,2,6.48,1.3,29.78,1.49
3,30,2,9.72,2,43.72,1.46
4,40,2,12.96,2.6,57.56,1.44
5,50,4,16.2,2.6,72.8,1.46
6,60,4,19.72,2.6,86.32,1.44
7,10,2,3.24,2,17.24,1.72
8,20,2,6.48,2,30.48,1.52
9,30,2,9.72,2,43.72,1.46
10,40,2,12.96,4,58.96,1.47
11,50,4,16.2,4,74.2,1.48
12,60,4,19.72,4,87.72,1.46
13,10,3.4,0,1.3,14.7,1.47
14,20,6.9,0,1.3,28.2,1.41
15,30,10.3,0,2,42.3,1.41
16,40,13.7,0,2.6,56.3,1.41
17,50,17.2,0,2.6,69.8,1.4
18,60,20.6,0,2.6,83.2,1.39
19,10,3.4,0,2,15.4,1.54
20,20,6.9,0,2,28.9,1.44
21,30,10.3,0,2,42.3,1.41
22,40,13.7,0,4,57.7,1.44
23,50,17.2,0,4,71.2,1.42
24,60,20.6,0,4,84.6,1.41
25,20.4,2,6.61,1.3,30.31,1.49
26,40.8,2,13.22,2.6,58.62,1.44
27,61.2,4,20.11,2.6,87.91,1.44
28,81.6,4,27.37,2.6,115.57,1.42
29,20.4,2,6.61,2,31.01,1.52
30,40.8,2,13.22,2,58.02,1.42
31,61.2,4,20.11,4,89.31,1.46
32,81.6,4,27.37,4,116.97,1.43
33,20.4,7,0,1.3,28.7,1.41
34,40.8,14,0,2.6,57.4,1.41
35,61.2,21,0,2.6,84.8,1.39
36,81.6,28,0,2.6,112.2,1.38
37,20.4,7,0,2,29.4,1.44
38,40.8,14,0,2,56.8,1.39
39,61.2,21,0,4,86.2,1.41
40,81.6,28,0,4,113.6,1.39
41,30.6,2,9.92,1.3,43.82,1.43
42,61.2,4,20.11,2.6,87.91,1.44
43,91.8,6,30.79,2.6,131.19,1.43
44,122.4,6,39.84,2.6,170.84,1.4
45,30.6,2,9.92,2,44.52,1.45
46,61.2,4,20.11,2,87.31,1.43
47,91.8,6,30.79,4,132.59,1.44
48,122.4,6,39.84,4,172.24,1.41
49,30.6,10.5,0,2,43.1,1.41
50,61.2,21,0,2.6,84.8,1.39
51,91.8,31.5,0,2.6,125.9,1.37
52,122.4,42,0,2.6,167,1.36
53,30.6,10.5,0,2,43.1,1.41
54,61.2,21,0,4,86.2,1.41
55,91.8,31.5,0,4,127.3,1.39
56,122.4,42,0,4,168.4,1.38
